"Constant return type","A 'const' modifier on a function return type is useless and should be removed for clarity.","warning","The 'const' modifier has no effect on a return type and can be removed.","/include/net/net_if.h","565","43","565","51"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x80000fbc cast to pointer.","/build/zephyr/isr_tables.c","199","17","199","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x8000107c cast to pointer.","/build/zephyr/isr_tables.c","259","17","259","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x8000107c cast to pointer.","/build/zephyr/isr_tables.c","260","17","260","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x80001064 cast to pointer.","/build/zephyr/isr_tables.c","261","17","261","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x80001064 cast to pointer.","/build/zephyr/isr_tables.c","262","17","262","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x8000104c cast to pointer.","/build/zephyr/isr_tables.c","263","17","263","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x8000104c cast to pointer.","/build/zephyr/isr_tables.c","264","17","264","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x80001034 cast to pointer.","/build/zephyr/isr_tables.c","265","17","265","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x80001034 cast to pointer.","/build/zephyr/isr_tables.c","266","17","266","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x8000101c cast to pointer.","/build/zephyr/isr_tables.c","267","17","267","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x8000101c cast to pointer.","/build/zephyr/isr_tables.c","268","17","268","26"
"Non-zero value cast to pointer","A constant value other than zero is converted to a pointer type. This is a dangerous practice, since the meaning of the numerical value of pointers is platform dependent.","recommendation","Nonzero value 0x80001094 cast to pointer.","/build/zephyr/isr_tables.c","293","17","293","26"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types unsigned long and int.","/arch/arm/core/aarch32/cortex_m/fault.c","977","14","977","48"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/arch/arm/core/aarch32/cortex_m/fault.c","922","3","922","54"
"Conversion changes sign","Finds conversions from unsigned to signed.","warning","Conversion between signed and unsigned types int and unsigned int.","/arch/arm/core/aarch32/cortex_m/fault.c","740","12","740","20"
